source,destination,source_port,destination_port,protocol,length,flags,ttl,window_size,seq_number,ack_number,time_delta,label
501989869,168430090,0,0,1,1297,0,104,0,0,0,0.0,attack
2686355289,168430090,0,0,1,391,0,98,0,0,0,2.6e-05,attack
1030133746,168430090,0,0,1,810,0,45,0,0,0,9e-06,attack
18314794,168430090,0,0,1,1475,0,66,0,0,0,4e-06,attack
103709945,168430090,0,0,1,694,0,90,0,0,0,8e-05,attack
487904875,168430090,0,0,1,141,0,47,0,0,0,5e-06,attack
3196218912,168430090,0,0,1,792,0,106,0,0,0,3e-06,attack
1374561023,168430090,0,0,1,257,0,142,0,0,0,2e-06,attack
811872161,168430090,0,0,1,1449,0,84,0,0,0,3e-06,attack
2674367815,168430090,0,0,1,1265,0,88,0,0,0,2.2e-05,attack
3647811468,168430090,0,0,1,318,0,137,0,0,0,3e-06,attack
2072272089,168430090,0,0,1,544,0,85,0,0,0,3.1e-05,attack
3202669115,168430090,0,0,1,1159,0,125,0,0,0,3e-06,attack
3184482668,168430090,0,0,1,181,0,84,0,0,0,3e-06,attack
812220316,168430090,0,0,1,1473,0,54,0,0,0,5.5e-05,attack
1857960253,168430090,0,0,1,1066,0,92,0,0,0,4e-06,attack
1974655084,168430090,0,0,1,838,0,105,0,0,0,3e-06,attack
306416565,168430090,0,0,1,364,0,119,0,0,0,1.4e-05,attack
1236067914,168430090,0,0,1,836,0,57,0,0,0,2.2e-05,attack
1391867957,168430090,0,0,1,50,0,94,0,0,0,5e-06,attack
3224018367,168430090,0,0,1,1295,0,51,0,0,0,3.6e-05,attack
3338859829,168430090,0,0,1,335,0,53,0,0,0,4.8e-05,attack
1959582007,168430090,0,0,1,282,0,88,0,0,0,4e-06,attack
455729029,168430090,0,0,1,1299,0,91,0,0,0,4e-06,attack
1512688111,168430090,0,0,1,1344,0,135,0,0,0,3e-06,attack
1010432414,168430090,0,0,1,1114,0,90,0,0,0,3e-06,attack
1987730420,168430090,0,0,1,148,0,93,0,0,0,3e-06,attack
3014499476,168430090,0,0,1,207,0,42,0,0,0,2.7e-05,attack
980901481,168430090,0,0,1,1093,0,127,0,0,0,1.6e-05,attack
1976367091,168430090,0,0,1,524,0,119,0,0,0,3e-06,attack
1849540676,168430090,0,0,1,1137,0,62,0,0,0,2e-06,attack
432343654,168430090,0,0,1,440,0,69,0,0,0,2.8e-05,attack
1089710299,168430090,0,0,1,1237,0,82,0,0,0,2.5e-05,attack
2313739610,168430090,0,0,1,1422,0,140,0,0,0,8e-06,attack
901484577,168430090,0,0,1,666,0,102,0,0,0,1.3e-05,attack
1244018350,168430090,0,0,1,315,0,121,0,0,0,2.7e-05,attack
2572309655,168430090,0,0,1,919,0,46,0,0,0,3e-06,attack
736336013,168430090,0,0,1,803,0,76,0,0,0,5.5e-05,attack
703849066,168430090,0,0,1,1391,0,111,0,0,0,7e-06,attack
535991272,168430090,0,0,1,207,0,146,0,0,0,3e-06,attack
3274688318,168430090,0,0,1,216,0,50,0,0,0,1.5e-05,attack
469425126,168430090,0,0,1,351,0,46,0,0,0,1.1e-05,attack
2748804182,168430090,0,0,1,836,0,113,0,0,0,2.9e-05,attack
1437182743,168430090,0,0,1,1276,0,96,0,0,0,8.3e-05,attack
1884001421,168430090,0,0,1,1155,0,53,0,0,0,9e-06,attack
3301613234,168430090,0,0,1,631,0,114,0,0,0,0.076196,attack
