source,destination,source_port,destination_port,protocol,length,flags,ttl,window_size,seq_number,ack_number
192.168.0.246,192.168.0.1,53760,53,17,78,,128,,,
192.168.0.1,192.168.0.246,53,53760,17,198,,56,,,
192.168.0.246,20.189.173.12,54913,443,6,52,0x0002,128,64240,0,0
20.189.173.12,192.168.0.246,443,54913,6,52,0x0012,115,65535,0,1
192.168.0.246,20.189.173.12,54913,443,6,40,0x0010,128,132352,1,1
192.168.0.246,20.189.173.12,54913,443,6,557,0x0018,128,132352,1,1
20.189.173.12,192.168.0.246,443,54913,6,1500,0x0010,115,525056,1,518
20.189.173.12,192.168.0.246,443,54913,6,1500,0x0010,115,525056,1461,518
192.168.0.246,20.189.173.12,54913,443,6,40,0x0010,128,132352,518,2921
20.189.173.12,192.168.0.246,443,54913,6,1500,0x0010,115,525056,2921,518
20.189.173.12,192.168.0.246,443,54913,6,166,0x0018,115,525056,4381,518
192.168.0.246,20.189.173.12,54913,443,6,40,0x0010,128,132352,518,4507
192.168.0.246,20.189.173.12,54913,443,6,198,0x0018,128,132352,518,4507
20.189.173.12,192.168.0.246,443,54913,6,91,0x0018,115,524800,4507,676
192.168.0.246,20.189.173.12,54913,443,6,1634,0x0018,128,132352,676,4558
20.189.173.12,192.168.0.246,443,54913,6,40,0x0010,115,525568,4558,2270
20.189.173.12,192.168.0.246,443,54913,6,513,0x0019,115,525568,4558,2270
192.168.0.246,20.189.173.12,54913,443,6,40,0x0010,128,131840,2270,5032
192.168.0.246,20.189.173.12,54913,443,6,71,0x0018,128,131840,2270,5032
192.168.0.246,20.189.173.12,54913,443,6,40,0x0011,128,131840,2301,5032
